2026-02-20 10:28:14 | src.extraction.structured_extractor | INFO | __init__:94 | StructuredExtractor initialized with model: mistral
2026-02-20 10:28:14 | src.extraction.structured_extractor | INFO | extract:98 | Starting structured extraction from resume
2026-02-20 10:29:11 | src.extraction.structured_extractor | INFO | extract:136 | Structured extraction successful
2026-02-20 10:29:11 | src.extraction.structured_extractor | INFO | _merge_with_regex_fallback:145 | Merging LLM results with regex fallback
2026-02-20 10:29:11 | src.extraction.structured_extractor | INFO | _merge_with_regex_fallback:187 | Merge completed successfully
2026-02-20 10:32:56 | src.extraction.structured_extractor | INFO | __init__:94 | StructuredExtractor initialized with model: mistral
2026-02-20 10:32:56 | src.extraction.structured_extractor | INFO | extract:98 | Starting structured extraction from resume
2026-02-20 10:33:51 | src.extraction.structured_extractor | INFO | extract:136 | Structured extraction successful
2026-02-20 10:33:51 | src.extraction.structured_extractor | INFO | _merge_with_regex_fallback:145 | Merging LLM results with regex fallback
2026-02-20 10:33:51 | src.extraction.structured_extractor | INFO | _merge_with_regex_fallback:187 | Merge completed successfully
2026-02-20 10:35:30 | src.extraction.structured_extractor | INFO | __init__:94 | StructuredExtractor initialized with model: mistral
2026-02-20 10:35:30 | src.extraction.structured_extractor | INFO | extract:98 | Starting structured extraction from resume
2026-02-20 10:36:24 | src.extraction.structured_extractor | INFO | extract:136 | Structured extraction successful
2026-02-20 10:36:24 | src.extraction.structured_extractor | INFO | _merge_with_regex_fallback:145 | Merging LLM results with regex fallback
2026-02-20 10:36:24 | src.extraction.structured_extractor | INFO | _merge_with_regex_fallback:187 | Merge completed successfully
2026-02-20 10:37:09 | src.extraction.structured_extractor | INFO | __init__:94 | StructuredExtractor initialized with model: mistral
2026-02-20 10:37:09 | src.extraction.structured_extractor | INFO | extract:98 | Starting structured extraction from resume
2026-02-20 10:38:04 | src.extraction.structured_extractor | INFO | extract:136 | Structured extraction successful
2026-02-20 10:38:04 | src.extraction.structured_extractor | INFO | _merge_with_regex_fallback:145 | Merging LLM results with regex fallback
2026-02-20 10:38:04 | src.extraction.structured_extractor | INFO | _merge_with_regex_fallback:187 | Merge completed successfully
2026-02-20 10:40:12 | src.extraction.structured_extractor | INFO | __init__:94 | StructuredExtractor initialized with model: mistral
2026-02-20 10:40:12 | src.extraction.structured_extractor | INFO | extract:98 | Starting structured extraction from resume
2026-02-20 10:41:08 | src.extraction.structured_extractor | INFO | extract:136 | Structured extraction successful
2026-02-20 10:41:08 | src.extraction.structured_extractor | INFO | _merge_with_regex_fallback:145 | Merging LLM results with regex fallback
2026-02-20 10:41:08 | src.extraction.structured_extractor | INFO | _merge_with_regex_fallback:187 | Merge completed successfully
2026-02-20 11:46:03 | src.extraction.structured_extractor | INFO | __init__:94 | StructuredExtractor initialized with model: mistral
2026-02-20 11:46:03 | src.extraction.structured_extractor | INFO | extract:98 | Starting structured extraction from resume
2026-02-20 11:46:59 | src.extraction.structured_extractor | INFO | extract:136 | Structured extraction successful
2026-02-20 11:46:59 | src.extraction.structured_extractor | INFO | _merge_with_regex_fallback:145 | Merging LLM results with regex fallback
